RegNo,Grade
211FA04003,C
211FA04005,B
211FA04006,C
211FA04008,A
211FA04009,B
211FA04010,C
211FA04011,E
211FA04014,E
211FA04015,C
211FA04016,E
211FA04017,A
211FA04019,A
211FA04020,C
211FA04031,B
211FA04040,B
211FA04045,C
211FA04070,E
211FA04071,B
211FA04072,E
211FA04073,D
211FA04075,C
211FA04076,C
211FA04077,C
211FA04080,B
211FA04110,E
211FA04111,D
211FA04112,E
211FA04114,C
211FA04115,D
211FA04119,C
211FA04121,C
211FA04122,E
211FA04126,C
211FA04129,A
211FA04130,D
211FA04132,C
211FA04133,D
211FA04135,D
211FA04138,B
211FA04140,A
211FA04144,B
211FA04152,D
211FA04154,E
211FA04160,B
211FA04165,A
211FA04168,C
211FA04170,C
211FA04173,C
211FA04174,A
211FA04177,D
211FA04179,A
211FA04181,A
211FA04185,A
211FA04190,B
211FA04191,D
211FA04192,D
211FA04194,E
211FA04197,A
211FA04199,A
211FA04201,E
211FA04207,C
211FA04208,D
211FA04213,B
211FA04222,E
211FA04223,B
211FA04225,E
211FA04227,A
211FA04228,B
211FA04230,B
211FA04231,B
211FA04235,B
211FA04239,E
211FA04241,D
211FA04242,C
